;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73;V74;V75;V76;V77;V78;V79;V80;V81;V82;V83;V84;V85;V86;V87;V88;V89;V90;V91;V92;V93;V94;V95;V96;V97;V98;V99;V100;V101;V102;V103;V104;V105;V106;V107;V108;V109;V110;V111;V112;V113;V114;V115;V116;V117;V118;V119;V120;V121;V122;V123;V124;V125;V126;V127;V128;V129;V130;V131;V132;V133;V134;V135;V136;V137;V138;V139;V140;V141;V142;V143;V144;V145;V146;V147;V148;V149;V150;V151;V152;V153;V154;V155;V156;V157;V158;V159;V160;V161;V162;V163;V164;V165;V166;V167;V168;V169;V170;V171;V172;V173;V174;V175;V176;V177;V178;V179;V180;V181;V182;V183;V184;V185;V186;V187;V188;V189;V190;V191;V192;V193;V194;V195;V196;V197;V198;V199;V200
2;-0,182249556;0,094387954;6,585887952;3,296087982;6,966096549;8,451083311;3,844208578;0,067469435;8,791217118;-0,106194761;-0,146431969;-0,177318713;0,023444034;0,101728708;0,28912865;4,163633547;0,189957258;4,387707002;5,102570728;-0,055903293;17,66852271;0,10200874;0,08889861;0,098602721;11,61960489;4,514985052;0,032589656;11,17772163;18,21920537;4,037779868;-0,09371146;-0,000616225;18,07848541;14,58422671;1,40119998;14,86148053;0,104923919;0,044172369;14,12408478;2,821668377;6,822055096;19,32443552;5,495331601;8,079369064;10,39361686;0,037710807;5,705112172;6,008474687;0,521962988;13,76746846;3,46301809;-0,178287327;18,77694537;2,520405541;0,096990564;13,91662234;19,1792854;1,309014315;2,610705981;2,333707355;0,055948358;4,374914871;15,48440216;0,816947746;16,84791153;14,60809909;0,018951598;1,709898344;-0,05737036;-0,053763518;1,10293445;18,98879375;0,117733152;0,130967774;15,12916688;8,389547729;18,6967623;10,96991822;0,057906646;0,175088996;10,3505846;18,02395995;14,57550625;16,70610335;-0,047865137;0,008029705;-0,07620249;0,019293577;10,06700891;-0,057127315;0,069829032;19,84446845;-0,092394331;16,0509293;8,01249618;12,74862803;11,25999928;10,44257885;-0,033365113;15,92802927;4,464381803;4,841606568;18,14145654;19,408329;0,035843282;0,030647024;10,42982208;-0,004910808;5,239958975;2,86812217;-0,168477279;9,637708072;3,095262614;-0,112501356;1,140793743;9,784315375;0,076001428;-0,166372498;6,590082532;0,023635988;-0,202704432;0,062271915;-0,113086147;0,035450584;9,686423063;9,635182731;6,079865969;15,52088665;15,47909702;15,73713356;18,00661555;0,006075976;16,85701914;-0,03120006;-0,299302773;2,136859902;0,073347998;0,055922953;0,934844926;0,096416762;4,201297285;7,283772375;12,90885881;15,38480284;14,24234069;13,95825277;19,4444983;3,556218212;0,042918724;0,00589405;18,91340345;6,713085547;-0,084266489;3,447839632;-0,026088497;17,08381764;0,123326062;0,00396021;0,176140131;1,927487799;4,297772344;19,48648751;9,423544373;0,283035683;8,337612436;-0,136041962;13,83779342;20,02982654;9,807854401;4,327305302;6,613174169;3,192970802;7,57963715;-0,113990874;12,66156364;19,69081766;0,0138303;-0,054043029;14,17301467;0,065059263;0,073801299;0,031663248;0,034291832;1,02797657;10,64820019;6,993971621;0,189173404;-0,009529253;0,10243747;5,156135045;-0,041048004;4,631107717;-0,093634343;11,76990233;11,06014635;-0,032460299;5,511752791;4,8541283;0,064456953;2,592395777
3;-0,259275412;0,204664801;6,650270168;3,560737067;6,836177966;8,369933063;3,810374041;0,226813729;8,754707328;-0,250958305;-0,193474543;-0,355193282;0,19960578;0,129698854;0,399848914;4,220354292;0,261463032;4,380073123;5,027960986;-0,293730995;17,76015601;0,101951861;0,129072031;0,03630841;11,66638707;4,48053737;0,016470141;10,92961258;18,14840133;4,31905916;-0,089694949;0,080170444;18,06219937;14,80469826;1,346017805;15,0176159;0,278012935;0,066664933;13,99773313;2,877127217;6,743564019;19,23081893;5,672939158;7,967576936;10,05413047;0,074508907;5,746629099;5,992474523;0,567503383;13,5419503;3,39880897;-0,17578339;18,769241;2,403718457;0,075184611;14,03115648;19,37375371;1,379618112;2,75169422;2,367805622;0,16212314;4,335472742;15,33172123;0,98238217;17,07058557;14,52551255;0,049972952;1,853757368;0,071834762;-0,170892281;1,102593332;18,83393545;0,182251806;0,223961471;15,10501241;8,326798719;18,76969454;11,02359521;0,016088003;0,414927495;10,14914589;18,33414671;14,61458886;16,83873655;-0,080497628;0,028047724;-0,23804836;0,072458247;10,29824593;-0,147025281;-0,102725121;19,77752105;-0,150203438;16,17426447;8,051818231;12,97129521;11,12154141;10,27340292;-0,093071834;16,03752262;4,612424977;4,870386937;18,17403507;19,25571626;0,009362527;0,147038725;10,60216654;-0,0525698;4,997924024;2,672824099;-0,335524146;9,586430579;3,484724717;-0,013082515;1,049573545;9,749397685;0,244680438;-0,15093276;6,674863949;-0,034280584;-0,378740012;-0,010819402;-0,24330609;0,104286592;9,975948241;9,496352894;6,066647327;15,31015496;15,49138121;15,73023261;18,22866239;0,182767453;16,66556093;-0,003566802;-0,231590821;2,047596088;-0,037618489;0,041232961;1,264629054;0,055829511;4,756689837;7,412891772;12,96098249;15,28587248;14,09483736;14,08392436;19,53693364;3,555743324;0,134136711;0,021310664;19,11897837;6,528759399;-0,050694472;3,810172425;-0,21331496;16,96016564;0,142303887;-0,256307222;0,056826279;1,923263629;4,559117179;19,07729967;9,421410188;0,372913358;8,179866959;-0,120340476;13,91577156;19,93563718;9,97309843;4,241073537;6,668265734;2,98674662;7,612594907;-0,03002581;12,51865158;19,67953501;0,097225163;-0,193207923;14,20587691;0,325561753;0,196374474;0,123487652;0,012757742;1,237725549;10,63641566;7,035362192;0,355519723;-0,102475457;0,262578082;5,29354334;-0,140719645;4,734752306;-0,234155678;11,64814089;11,07489944;0,064113886;5,53028035;4,915414991;0,163659497;2,635889116
4;-0,405771339;0,114741404;6,77794006;3,704805772;7,005495569;8,362283109;3,623410787;0,29795135;8,768832772;-0,26847159;-0,217190355;-0,404073999;0,337228787;0,156965479;0,225649132;4,348450901;0,321591423;4,720936834;5,093475149;-0,404108598;17,81209792;0,004819643;-0,075188718;0,058521242;11,61513236;4,115481883;0,048759094;11,15894128;18,4345141;4,284537753;-0,017973596;0,12854949;18,14836558;14,70006027;1,369532715;14,99682333;0,339066586;0,022024149;14,4813884;3,106981718;6,646286352;19,2559465;5,437789091;8,176994771;10,25564104;0,042744614;5,85849242;5,677624226;0,669091638;13,60486032;3,512189258;-0,149654157;18,5925815;2,272321445;-0,035625791;14,04657444;18,97058109;1,480235071;2,659528871;2,364346796;0,289558335;4,379146845;15,47099108;0,806434553;16,79689264;14,3928504;0,019057654;1,940862501;0,314142986;-0,160085718;1,162915751;18,99942775;0,387207182;0,246046526;14,95879615;8,238427937;18,88676916;10,72897193;-0,174505397;0,532200092;10,12186976;18,15965263;14,42859646;16,77437242;0,007021134;-0,025389409;-0,273236717;0,158228866;10,08290552;-0,137441743;-0,126492229;19,80903989;-0,085857031;16,24231481;7,998244981;12,93871269;11,0579454;10,45739045;-0,148455843;16,02081868;4,867844013;4,792145793;18,43592719;19,38741939;-0,048463128;0,241657136;10,41167215;-0,069643434;4,979251557;2,566819493;-0,559443871;9,710684049;3,45810964;-0,119619022;0,927502629;9,670753413;0,444473972;-0,04648247;6,529263419;-0,068717512;-0,404948737;-0,272636137;-0,23917012;0,159200697;9,876637518;9,81956781;5,904789287;15,37331789;15,46746123;15,80342799;18,05406841;0,147043511;16,49494962;0,031688264;-0,104581886;2,077502911;-0,072161783;-0,017714762;0,918023268;0,160779853;4,203407761;7,402035075;12,80248399;15,54045527;13,96357389;14,15859367;19,45717672;3,587831671;0,15945133;0,037937908;18,93104342;6,177558335;-0,143077282;3,689239178;-0,129573961;17,03916322;0,154219915;-0,258636298;-0,119829592;1,901855962;4,270829969;19,08210141;9,414203511;0,20952666;8,114142526;-0,113827194;14,04998857;19,95929168;9,970558999;4,217387189;6,664392699;3,018877001;7,525799285;0,020616883;12,41992742;19,62302551;0,128759207;-0,261317686;14,10906999;0,380595969;0,200779942;0,015245271;0,095992042;1,22345299;10,62156378;7,002211201;0,263791479;-0,187323245;0,442773872;5,308960637;-0,322744785;4,8010974;-0,226041531;11,35960555;10,83988429;-0,035913878;5,440680908;4,900065524;0,238364375;2,701785651
5;-0,593016249;-0,025926401;6,795791177;3,692840794;6,961851639;8,46313704;3,759648828;0,367135156;8,655301544;-0,194810905;-0,291781884;-0,344445868;0,387628129;0,241197831;0,031234336;4,308430968;0,352646526;4,431284789;4,958068435;-0,324084905;17,72109692;-0,072793615;-0,165973683;-0,004818015;11,70145223;3,927057745;-0,112741791;11,14077216;18,09628439;4,421262038;0,065627394;0,172617582;18,23480663;14,72677853;1,399657;14,82766272;0,34441758;-0,015111288;14,13200987;3,009499073;6,836863953;19,25056525;5,744139496;8,137563122;10,15711117;0,000575677;6,045922137;5,771605661;0,608553791;13,73853368;3,462849831;-0,127790958;18,70663409;2,147607101;-0,164428811;13,97794074;19,29501012;1,31015141;2,738770288;2,40601298;0,233028919;4,313228989;15,39476097;0,812687317;16,61336609;14,60461411;-0,018319389;1,935031255;0,393969891;0,073373784;1,115940509;19,00895711;0,578998975;0,236876993;15,18352561;8,404261674;18,87624733;10,93785033;-0,430977128;0,573222139;10,48985948;18,24666093;14,48447788;16,67220522;-0,092522217;-0,029339008;-0,307114535;0,180740936;10,13089271;-0,04047157;-0,11320533;19,84170708;-0,1243945;16,12986237;8,30257596;12,8813794;11,12306787;10,5187036;-0,277934243;15,84520217;4,929721993;4,660192515;18,42433475;19,35991288;-0,054713223;0,113367353;10,70466509;0,079934436;5,200205635;2,979698759;-0,710532989;9,628622199;3,189617161;-0,168319037;0,788325783;9,611698641;0,530378414;-0,077206283;6,963512031;-0,011788201;-0,28239589;-0,343200594;-0,140329779;0,247048306;9,826729514;9,919221594;5,806160722;15,45232366;15,49056286;15,74654203;18,35105657;0,042905043;16,62496898;-0,062372988;-0,243645523;2,22463506;-0,099941953;-0,02887496;1,24534521;0,243112217;4,270022077;7,408554223;12,73403595;15,52075625;13,83118782;14,04981896;19,19159199;3,991847191;0,129378952;0,040571542;18,86139941;6,02224483;-0,188337564;3,424915203;-0,042359694;17,1062119;0,049778608;-0,212426196;-0,108983197;1,927601548;4,506893957;19,15444742;9,446703196;0,314855664;8,098742148;-0,224709593;14,28622589;19,90242157;10,06531049;4,242588736;6,465453337;3,12514101;7,592962077;0,144049765;12,30631551;19,77690864;0,177202248;-0,283656482;14,24087484;0,398232678;0,338548052;-0,025666327;0,146161058;1,059900106;10,71240018;6,974835379;0,187540038;-0,257085593;0,463697388;5,330197814;-0,414941316;4,724859877;-0,139348579;11,75407073;10,99310703;-0,114702503;5,493221195;4,7225054;0,345530449;2,620208783
6;-0,873846786;-0,035971988;6,728166667;3,531193167;6,849238472;8,507695243;3,91805417;0,408930439;8,812839686;-0,256614724;-0,328425467;-0,469894225;0,53112132;0,331196666;0,109375738;4,221341377;0,507928991;4,410708752;5,031455132;-0,380208636;17,77816784;-0,008070583;-0,098773531;0,086698722;11,61471144;4,031633102;-0,191035557;11,11085416;18,21953106;4,064874989;-0,032833664;0,332861112;18,30075459;14,57317562;1,216687735;14,70265352;0,636916041;0,026054589;14,30435823;3,042329589;6,801301706;19,43462816;5,563878706;8,165336283;10,554172;0,199844914;6,207369626;6,007936125;0,440167683;13,7597654;3,566282326;-0,210639102;18,90452709;2,542128496;-0,103124735;13,94004705;19,22596528;1,213141582;2,851336904;2,358220344;0,351226031;4,337496644;15,45927049;1,020435778;16,88770024;14,62254908;0,066756059;1,898497998;0,185464724;0,142355892;1,060742009;18,99107318;0,789868273;0,517835554;15,07422394;8,351370077;18,76926305;10,84793332;-0,397245167;0,742015166;10,25834008;18,12778696;14,38025138;16,74554156;-0,400847528;-0,006749121;-0,396656489;0,324891999;10,30511928;-0,096146494;-0,296321915;19,91060979;-0,347618237;16,03149325;8,207028256;12,72552742;11,19781534;10,64542673;-0,629608824;15,69537844;4,849924819;4,693826281;18,31876096;19,32266158;0,074692349;0,123323977;10,3709518;0,21601089;5,238515128;3,352708702;-1,117088587;9,595015575;3,260129989;-0,177940698;0,932350891;9,684353593;0,478607785;-0,41254358;6,672221693;-0,014718245;-0,327752486;-0,519532776;-0,200016306;0,320428521;9,878273981;9,545708133;5,892587956;15,52379723;15,43913595;15,81776511;18,03418032;0,018751851;16,97185992;-0,086444148;-0,792717715;2,048461226;0,141520871;-0,06632346;1,101046705;0,350492384;4,130985315;7,366014097;12,67640959;15,33095652;13,74148813;14,087701;19,14654632;3,570649493;0,131432348;0,047684474;18,8640655;6,070302256;-0,27976931;3,383128865;-0,067161133;17,12370348;0,194595265;-0,168001752;-0,044509878;1,704191758;4,371359705;19,41634052;9,392616953;0,782615843;8,003756021;-0,33331378;14,43643044;19,93087276;9,734510624;4,31108873;6,460269444;3,019073416;7,561917994;-0,029317585;12,36481757;19,92612677;0,356481137;-0,48994059;14,17385819;0,459212528;0,694397905;0,052135354;0,122117984;1,160089685;10,673042;7,086736192;0,499049924;-0,289943124;0,66868268;5,232035319;-0,50685959;4,594595014;-0,309203619;11,64347831;11,03786989;-0,272937195;5,385871509;4,632501676;0,358663344;2,439500414
7;-0,983339824;0,166963121;6,924211917;3,239441924;6,899210301;8,292251692;3,861502354;0,581642138;8,55390599;-0,381424307;-0,133216751;-0,625848139;0,795040811;0,223725455;-0,088037646;4,30942474;0,486240824;4,453874537;4,876342125;-0,876148638;17,79193747;-0,04092446;-0,015077714;0,167927767;11,69141754;4,195172336;-0,155532111;11,04537094;18,03687578;4,373221816;0,192332354;0,435730792;18,29231031;14,79156178;1,182698298;14,77461719;1,03262704;0,175096714;13,910952;2,967304729;6,835435526;19,25668256;5,586479431;7,999744845;10,0696353;0,290672436;6,314542242;5,911288502;0,701982816;13,52133304;3,679784451;-0,185362672;18,60474404;2,49562034;0,05452911;14,08741258;19,42538099;1,159094466;2,702956349;2,377974358;0,460417628;4,383627336;15,35785528;0,879980829;16,96097296;14,52882029;-0,024787863;1,89071587;0,258068694;0,207828742;1,135807439;18,81155781;0,830510203;0,760588518;15,2863801;8,441989122;18,75178699;11,02046184;-0,571027342;0,944572878;10,29191565;18,32846911;14,55005781;16,80011767;-0,404838747;0,080746932;-0,655266344;0,212277898;10,1304743;-0,061729424;-0,612522643;19,75862183;-0,466698913;16,03010332;8,071901224;12,51884319;11,26007936;10,44352672;-0,683632057;15,72214253;4,782979499;4,874139483;18,43616473;19,16110377;-0,027251037;0,37411105;10,64203503;0,313841275;4,92422094;3,254462766;-1,411973423;9,577888797;3,353218923;0,073508546;1,10877518;9,740626016;0,729066594;-0,206830909;6,544037145;-0,064791768;-0,768727392;-0,816324484;-0,397390347;0,490221935;9,953369307;9,329534038;6,104569085;15,42184373;15,20632114;15,55986635;18,20356834;0,139207426;16,49803744;-0,008985622;-0,686510569;1,921851817;0,003955202;-0,179611142;1,272564346;0,468157365;4,597893219;7,421712368;12,47662179;15,29668579;13,93494096;14,06117098;19,21182527;3,509425196;0,275445939;0,037696913;19,22466999;6,01927805;-0,117464363;3,779375069;-0,144550377;16,95871344;0,416001571;-0,581684624;-0,184069088;1,773595909;4,726798011;19,44629694;9,348000988;0,739542523;8,170136116;-0,214779194;14,39363177;20,02723188;10,09107033;4,214465089;6,496101148;2,738927468;7,481909571;0,135903341;12,43705142;19,99627156;0,505263744;-0,675383156;14,07428732;0,869482393;0,878153322;0,233015338;0,185777283;1,043666825;10,68537403;7,054010987;0,763454063;-0,356118854;0,850752725;5,028136741;-0,603597415;4,863383899;-0,541843283;11,8249839;10,90258989;-0,259535319;5,560784228;4,886578346;0,581285567;2,3530629
8;-1,321562471;0,190117668;7,183709406;3,321503217;6,85529643;8,217180525;3,56709806;0,705758035;8,910485869;-0,297032867;-0,200259308;-0,652560841;0,94567923;0,247237844;-0,481562532;4,599671509;0,69869388;4,746782263;5,190920593;-1,058420377;18,06646832;-0,09705064;-0,353324435;0,248981713;11,69970881;4,092074224;-0,204379204;11,16723361;18,33140192;4,642014972;0,321309856;0,422187286;18,220972;14,80903135;1,276573031;14,85682337;1,25468721;0,193191132;14,24481316;3,02248436;6,619955703;19,24295149;5,506823777;8,068283502;10,33856428;0,405732433;6,30958094;5,71909587;0,731983361;13,9260958;3,686363196;-0,231133246;18,82421943;2,186313394;0,007457425;14,10876548;19,04601109;1,076467578;2,578544505;2,432278446;0,568777691;4,340179566;15,56808043;0,902599608;16,59680896;14,42025606;-0,252392471;1,99923559;0,446764981;0,306835759;1,029048495;18,9051324;1,03139433;0,673982121;14,90609622;8,411129574;18,67990571;10,97048687;-0,977715675;1,232186177;10,11336664;18,25786851;14,47126946;16,85866546;-0,077575142;0,153013326;-0,685983352;0,311610995;10,20422879;0,144630927;-0,780414952;19,72832876;-0,436050094;16,01839447;8,002892976;12,31517221;11,15729104;10,56322274;-0,636546227;15,87066077;4,641764896;4,988072171;18,65599001;19,41657948;-0,048644193;0,616578546;10,48537513;0,388311625;4,989117987;3,261446687;-1,747768078;9,761494616;3,488472399;-0,036158273;1,028254413;9,629627292;1,140256728;-0,044274834;6,548606163;-0,036776958;-1,049925566;-1,34932143;-0,38935043;0,693594609;10,01746866;9,349746933;6,11290439;15,36586453;15,47662586;15,79853936;18,21913486;0,014840106;16,45090642;0,053998662;-0,449372666;2,075262747;-0,177392102;-0,098994366;1,050892628;0,760327064;4,325074844;7,439840854;12,42614044;15,61261964;14,12757731;13,94357835;19,26178217;3,666673639;0,540817886;0,038495258;19,06806657;5,852198923;-0,281094187;3,85772879;-0,025948343;17,04049131;0,525798045;-0,675919016;-0,294532892;1,745762954;4,295440677;19,10507393;9,431979888;0,514350156;8,378792321;-0,352822059;14,3181918;19,89703862;9,99218829;4,17374788;6,649591982;2,896534689;7,624581626;0,088337793;12,44078659;20,18130184;0,468111335;-0,630565428;14,18513562;0,919506029;0,726371864;0,051888079;0,300471052;1,07641049;10,81776974;7,1172932;0,648542803;-0,347043245;1,278316161;4,689445968;-0,94049484;4,784090934;-0,530980887;11,31821047;10,8795751;-0,305336986;5,43070353;4,907506431;0,846865378;2,347638993
9;-1,558155429;0,187144266;7,257508704;3,545338093;7,056435707;8,49714463;3,914257435;0,657497024;8,709191018;-0,174512287;-0,212818861;-0,389621205;1,045285362;0,272550132;-0,703055756;4,410777825;0,815607975;4,319343924;5,007241055;-0,85726652;17,86343006;-0,121556286;-0,45390876;0,06549224;11,74827483;3,924073348;-0,505293701;11,16271569;18,17740507;4,214488828;0,343027758;0,443740398;18,05836039;14,66825491;1,409033429;14,86903523;1,432488887;0,155361648;14,32409493;2,990638445;6,813254918;19,32222301;5,716554147;8,060011951;10,14016325;0,447314003;6,124246897;5,842856088;0,581225062;14,09328712;3,561179597;-0,359769629;18,80394171;1,927766377;-0,064331465;13,91968341;19,33071131;1,094038815;2,366555195;2,353150726;0,535099972;4,534595068;15,47995738;0,85596926;16,71536943;14,56501849;-0,453318938;2,040359048;0,313908155;0,612373539;0,85528569;18,92408622;1,298821536;0,505418918;14,99520837;8,486039088;18,60115684;11,13797922;-1,593066348;1,486420901;10,26181621;18,11374728;14,53974644;16,66424336;-0,077381276;0,195001914;-0,64357693;0,428339377;9,952563156;0,423631993;-0,70120009;19,82246045;-0,450704088;15,97643736;8,175810163;12,22823079;11,24414673;10,59763175;-0,795532496;15,84536516;4,510869217;4,968570246;18,6920478;19,431712;-0,07238787;0,480876477;10,64390088;0,510486395;5,078177974;3,263370532;-1,950892564;9,8666544;3,211875114;-0,039821747;0,966396239;9,434442149;1,481223008;-0,129914063;6,690240963;0,14497844;-0,929679923;-1,629370958;0,014146566;0,997503582;9,923143794;9,525074038;5,883853041;15,31584052;15,53531525;15,70066857;18,49855564;-0,170525083;16,79009434;-0,028951352;-0,716522436;1,917698996;-0,499325396;-0,065022504;1,262015183;0,717302219;4,437621314;7,216583353;12,5689034;15,5095397;14,25618597;13,93743586;19,33751239;3,956269268;0,572885562;-0,064126021;18,82795398;5,813159042;-0,565648488;3,399983464;0,103852933;17,13656064;0,356966735;-0,687570984;-0,319622365;1,768286243;4,570664519;19,30573238;9,415006993;0,64375539;8,385819798;-0,370264563;14,21749552;19,87752383;9,974644321;4,368764319;6,497474991;3,153750664;7,837327626;0,151965691;12,66670527;20,3993226;0,627851832;-0,593154481;14,39024333;0,871685158;0,822021833;-0,097883834;0,437419256;1,094028384;10,65955652;7,093057734;0,346239087;-0,529201152;1,428606725;4,482364184;-1,144733519;4,926559178;-0,44338681;11,65242764;11,14721509;-0,528880308;5,218011851;4,822621936;1,047332348;2,553731248
10;-1,975554479;0,339826118;7,171811319;3,656347507;6,840168639;8,697388589;3,983010413;0,534108517;8,723698637;-0,166555413;-0,245469809;-0,423230836;1,413640201;0,226109203;-0,648270456;4,352459931;0,959543608;4,499476582;5,006726657;-0,89639617;17,93603526;-0,168652637;-0,430391849;0,042374578;11,61109055;3,852181674;-0,582954083;11,06259255;17,97734021;4,44271092;0,062766871;0,573655973;18,33839243;14,78365786;1,182391018;14,83815776;1,656237612;0,060404542;14,1973794;3,070188754;6,686638952;19,4008965;5,55274918;8,137330781;10,64993934;0,711213523;6,067742954;5,776057483;0,379004764;13,84849029;3,483928665;-0,450533209;18,98845994;2,592804325;-0,025019196;13,79658438;19,49659639;1,164709542;2,428036932;2,351215023;0,45917896;4,242723105;15,4481895;1,038620067;16,92308426;14,63444458;-0,362819388;1,977277501;-0,069242215;0,767751106;0,744602926;19,01359712;1,511795178;0,722412671;15,08198885;8,533776241;18,68675412;11,03041742;-1,601490463;1,747981619;10,16395911;17,97275404;14,36710959;16,77134638;-0,416843735;0,220493283;-0,621104283;0,446792102;10,37042056;0,328795886;-0,923943219;19,85253571;-0,780498108;15,93515368;8,368621019;12,52916443;11,04014201;10,68502209;-1,268634473;15,88072947;4,286088534;4,735842643;18,645711;19,30428078;0,078694673;0,442842499;10,40242978;0,649293692;5,045326363;3,154011125;-2,420751828;9,693623498;3,321320983;0,046861939;0,906349267;9,505191073;1,377728657;-0,539412094;6,720791588;0,096956516;-0,784479933;-2,131446171;0,187119904;1,090893086;9,66170382;9,723400002;5,60845251;15,61233635;15,62566499;15,90809445;18,13523747;-0,217393668;16,86960456;-0,003715414;-1,331765182;1,852931756;-0,207248491;-0,205318579;1,068864098;0,851535514;4,217586076;7,089810479;12,46616612;15,38707214;14,29988116;13,91696137;19,26454371;3,511558605;0,579167824;-0,12738263;18,98944412;5,789020719;-0,745311862;3,421303948;0,282978168;17,06947863;0,188206037;-0,541312014;-0,596482843;1,814761612;4,365905331;19,46580513;9,520066968;1,097999228;8,360538981;-0,303320108;14,17117331;19,82176092;9,60786297;4,46373193;6,546139537;3,08002737;7,659467445;-0,004255472;12,83871723;20,27845945;0,992626579;-0,897667563;14,40293173;0,93426798;1,334933119;0,210161525;0,423659298;1,089497036;10,51674833;7,145056472;0,475867085;-0,657050733;1,643145357;4,662302572;-1,258441347;4,745373981;-0,738758384;11,38183628;11,07271696;-1,015274044;5,350418502;4,767557398;1,152217752;2,709472133
11;-2,303849811;0,590087487;7,239116459;3,648730694;7,003992596;8,223153173;3,727604147;0,538761235;8,447826093;-0,07125399;-0,101280623;-0,70443072;1,704243094;-0,018875654;-1,081395575;4,427980974;0,952420143;4,578012076;5,013778971;-1,323662017;17,62059396;-0,174746274;-0,454759276;0,133890914;11,56299445;3,94598739;-0,590253401;11,30591866;17,99237474;4,477055617;0,342197794;0,685874951;18,4372316;14,82525827;1,207138568;14,76230781;2,148091242;0,216394163;14,12655467;3,103847395;6,83333805;19,32171425;5,738388164;7,958784062;9,926673692;0,703960213;6,211253041;5,789548488;0,618157992;13,72322166;3,673823876;-0,515396823;18,58797821;2,563092487;0,014914931;14,02024323;19,31621188;1,033747342;2,714908072;2,390904288;0,260446009;4,443761029;15,50771037;0,776723059;16,751026;14,58667759;-0,596445439;1,921416976;0,106637021;0,695800589;0,772878069;18,76297259;1,67252464;1,107089884;14,93340417;8,287817995;18,73078455;10,88744116;-1,644728356;1,736868779;10,41114206;18,12224012;14,46059816;16,66675664;-0,320212717;0,350156636;-0,82229378;0,093919729;10,16458613;0,350130792;-1,202754877;19,84817915;-1,001419089;15,90247769;8,121961598;12,75117522;11,31827889;10,50179329;-1,154674815;16,04922639;4,154964872;4,790504744;18,62538302;19,12147006;-0,095974763;0,971462964;10,85310207;0,857521184;5,107077355;3,050770579;-2,669279808;9,618697923;3,430509011;0,213077277;0,954280395;9,538344675;1,799335633;-0,163859892;6,501229445;0,209181826;-1,409088826;-2,623646562;-0,172500823;1,201677481;9,588932436;9,566881222;5,503652384;15,59773289;15,39123218;15,5259696;18,17488016;-0,160456103;16,5386223;0,069220347;-1,225524785;1,968013453;-0,196558367;-0,441674778;1,268948018;1,060432875;4,355163558;7,201072571;12,31644236;15,59979644;14,27282591;13,88360154;19,202796;3,591258836;0,590448389;-0,254753619;18,88253493;5,74702545;-0,536271671;3,750695487;0,303395559;16,99987417;0,193501497;-0,906442757;-0,694596232;1,755635638;4,635832068;19,43625273;9,691173057;0,874651554;8,540848784;-0,16204963;14,15054536;19,81536252;9,955643271;4,319073729;6,525806823;2,856672913;7,618561275;0,225784657;12,74814918;20,00071857;1,236310431;-0,909080047;14,32053887;1,474515072;1,439638157;0,445772835;0,576241735;0,975553577;10,7521183;7,209520966;0,685877522;-0,629147742;1,703258808;4,845721272;-1,323177044;4,795646727;-1,21498128;11,86066014;10,93553856;-1,225381893;5,421267156;4,966676143;1,563518011;2,830989205
