DATA;TJ;IPCA;IBCBR;IBCBRD;YIG;YIGD
200301;1,9713;2085,68;96,15;100,44;74;79,3
200302;1,8304;2118,43;98,67;101,83;71,8;79,5
200303;1,777;2144,49;103,41;102,17;77,4;79,5
200304;1,8716;2165,29;102,19;101,43;76,5;79,2
200305;1,9654;2178,5;100,3;99,67;79,7;77,9
200306;1,8567;2175,23;98,58;100,39;76,3;78
200307;2,0842;2179,58;103,05;98,93;81,3;77,9
200308;1,7743;2186,99;101,47;99,79;81,6;79
200309;1,6795;2204,05;102,87;101,58;85,7;81,6
200310;1,6421;2210,44;105,06;101,65;90;81,5
200311;1,3435;2217,96;101,95;101,96;84,6;83,2
200312;1,3733;2229,49;99,74;101,63;77,9;80,7
200401;1,2676;2246,43;98,59;103,57;76,8;82,5
200402;1,0844;2260,13;99,45;104,45;74;83,3
200403;1,3791;2270,75;111,98;105,94;86,9;84,3
200404;1,1819;2279,15;107,36;106,88;82,2;85
200405;1,2278;2290,77;106,03;106,24;86,3;85,7
200406;1,2299;2307,03;107;107,29;86,1;86,3
200407;1,2869;2328,02;111,47;107,7;90,1;86,8
200408;1,2936;2344,08;110,65;108,18;92,1;87,8
200409;1,2513;2351,82;109,21;109,39;92,1;88,3
200410;1,2132;2362,17;108,89;108,67;93,5;87,4
200411;1,251;2378,47;109,59;109,62;91,8;87,6
200412;1,4828;2398,92;107,56;108,9;84,7;88,1
200501;1,3839;2412,83;103,52;109,65;81;88,6
200502;1,2182;2427,07;104;110,17;76,4;87,3
200503;1,5282;2441,87;115,42;110,38;88;88,2
200504;1,4115;2463,11;112,35;111,43;87;88,1
200505;1,5031;2475,18;110,86;110,91;91,1;89,7
200506;1,5856;2474,68;111,5;110,47;91,4;91,3
200507;1,5113;2480,87;113,15;110,68;90,5;89,3
200508;1,6585;2485,09;115,15;111,19;95,6;88,9
200509;1,5031;2493,79;110,95;110,87;92;88,5
200510;1,4072;2512,49;111,33;110,89;93,7;87,2
200511;1,381;2526,31;111,73;111,8;92,4;88,9
200512;1,4736;2535,4;111,25;112,25;86,6;90,3
200601;1,4293;2550,36;108,55;113,35;83,7;91,1
200602;1,1451;2560,82;107,8;113,59;80,2;91,6
200603;1,4223;2571,83;119,09;113,64;92,4;90,4
200604;1,0779;2577,23;112,61;114,48;85,7;91,3
200605;1,2814;2579,81;117,19;115,55;95,4;91,7
200606;1,1844;2574,39;114,4;114,75;91,1;91
200607;1,17;2579,28;119,41;116,88;93,8;91,7
200608;1,2563;2580,57;121,06;116,49;98,6;91,4
200609;1,0573;2585,99;116,21;116,88;93,2;90,6
200610;1,0942;2594,52;119,33;118,08;97,5;90,5
200611;1,0206;2602,56;118,67;118,82;95,9;92,2
200612;0,9879;2615,05;116,3;120,11;87;93,4
200701;1,0828;2626,56;114,79;119,69;87;92,8
200702;0,8725;2638,12;113,33;120,17;82,6;94,2
200703;1,0522;2647,88;125,11;119,39;96,4;94,6
200704;0,9448;2654,5;120,29;121,5;90,6;95,8
200705;1,0281;2661,93;123,9;122,25;99,9;95,9
200706;0,9056;2669,38;122,38;123,41;96,9;97,5
200707;0,9726;2675,79;127,85;124,26;99,8;96,8
200708;0,9926;2688,37;129,05;124,29;104,9;97,4
200709;0,805;2693,21;123,24;125,25;98,4;97,6
200710;0,9295;2701,29;129,17;126,13;107,8;98,2
200711;0,8447;2711,55;125,88;126,11;102,4;98,5
200712;0,8447;2731,62;122,43;127,05;92,6;99
200801;0,9294;2746,37;121,86;127,2;94,8;101,3
200802;0,8022;2759,83;121,91;126,74;91,1;100,1
200803;0,8446;2773,08;128,99;126,45;97,7;100,6
200804;0,9014;2788,33;129,48;127,87;99,2;100,1
200805;0,8768;2810,36;128,92;129,54;102,5;99,1
200806;0,9556;2831,16;130,59;131,03;103,3;105,1
200807;1,0697;2846,16;136,53;130,84;108,5;103
200808;1,0177;2854,13;133,87;131,06;106,9;102
200809;1,1031;2861,55;132,6;130,74;107,3;103
200810;1,1759;2874,43;132,8;128,12;108,4;99,3
200811;1,02;2884,78;124,58;124,88;96,2;94,9
200812;1,1241;2892,86;118,9;121,06;79,1;82,8
200901;1,0478;2906,74;115,2;120,87;78,7;84,9
200902;0,8551;2922,73;115,26;122,22;76,1;86,5
200903;0,9709;2928,57;127,81;123,02;88,6;87,9
200904;0,8396;2942,63;123,09;123,66;85,2;88,4
200905;0,7709;2956,46;124,41;124,87;91,3;90,6
200906;0,7622;2967,1;125,61;125,83;92,2;91,7
200907;0,7901;2974,22;131,44;126,29;97,7;93
200908;0,6937;2978,68;130,7;128,01;99,6;94,1
200909;0,6937;2985,83;129,81;129,13;99,4;95,8
200910;0,6937;2994,19;132,48;129,83;105,6;97
200911;0,66;3006,47;129,62;129,95;101,4;99,1
200912;0,73;3017,59;129,23;131,29;94,1;99,1
201001;0,66;3040,22;125,81;133,5;91,2;101,2
201002;0,59;3063,93;127,61;135,25;89;101,1
201003;0,76;3079,86;143,44;136,51;105,1;102,1
201004;0,67;3097,42;136,87;137,16;99,3;103,3
201005;0,75;3110,74;136,52;136,53;104,3;102,8
201006;0,79;3110,74;136,09;136,18;102,5;102,7
201007;0,86;3111,05;141,64;136,84;106,9;101,7
201008;0,89;3112,29;141,55;137,66;108,1;101,3
201009;0,85;3126,29;139,46;139,29;105,8;101,5
201010;0,81;3149,74;139,33;138,91;107,7;101,5
201011;0,81;3175,88;139,68;140,04;106,8;101,8
201012;0,9073;3195,89;136,69;138,53;96,6;102,8
201101;0,8623;3222,42;132,66;140,16;93,2;102,9
201102;0,8439;3248,2;136,18;140,61;95,4;104,7
201103;0,9205;3273,86;144,93;141,2;104,4;105,1
201104;0,8402;3299,07;139,89;141;97,5;102,3
201105;0,988;3314,58;143,23;141,23;107,1;105,1
201106;0,9563;3319,55;141,75;142,1;102,8;102,9
201107;0,9679;3324,86;145,19;142,25;106,1;103,5
201108;1,0741;3337,16;147,51;141,85;110,8;101,3
201109;0,9418;3354,85;142,3;141,77;104,8;100,3
201110;0,882;3369,28;142,02;141,65;106,3;99,4
201111;0,8605;3386,8;141,87;142,24;104,2;99,9
201112;0,9073;3403,73;139,23;140,43;95,7;102,6
201201;0,891;3422,79;133,34;138,79;88,7;97,6
201202;0,7488;3438,19;135,35;140,42;89,8;98,2
201203;0,8211;3445,41;146,35;139,92;99,7;97,9
201204;0,7119;3467,46;139,85;141,2;92,8;98,6
201205;0,7447;3479,94;144,56;142,67;102,5;98,7
201206;0,6415;3482,72;142,28;143,57;98,3;99,3
201207;0,68;3497,7;147,46;143,85;104,5;100,4
201208;0,6918;3512,04;149,91;144,33;111,5;102,1
201209;0,539;3532,06;141,6;143,59;103,4;101,4
201210;0,6113;3552,9;147,71;144,8;111,8;101,7
201211;0,5489;3574,22;144,15;144,6;104,8;100,2
201212;0,5502;3602,46;139,52;144,23;92,2;101,2
201301;0,6014;3633,44;139,32;144,9;94,5;102,3
201302;0,4933;3655,24;136,14;143,99;88,1;100
201303;0,5494;3672,42;148,01;144,98;97,7;101,5
201304;0,6137;3692,62;149,79;146,11;101,8;102,4
201305;0,5985;3706,28;147,03;147,13;105;102,1
201306;0,6053;3715,92;144,87;146,17;101,7;105,7
201307;0,7241;3717,03;152,13;146,83;108;101,9
201308;0,7103;3725,95;151,81;147,02;112;102
201309;0,713;3738,99;147,27;148,19;107,3;103,3
201310;0,8105;3760,3;151,9;148,1;112,6;101,7
201311;0,7192;3780,61;147,79;148,36;106,1;102,1
201312;0,7897;3815,39;145,77;148,76;90,1;99,2
201401;0,8493;3836,37;142,72;148,34;92,6;101
201402;0,7901;3862,84;143,53;147,9;92,3;101,3
201403;0,7659;3898,38;149,03;147,98;97,3;100,8
201404;0,8227;3924,5;147,69;147;96;100,2
201405;0,8659;3942,55;147,14;146,38;101,7;99
201406;0,8245;3958,32;140,88;143,6;94,9;97,3
201407;0,9487;3958,72;149,85;144,41;104,4;98,6
201408;0,866;3968,62;148,27;145,64;106,3;98,9
201409;0,9073;3991,24;148,12;145,93;105,6;98,7
201410;0,9505;4008;149,7;145,43;109,3;98,9
201411;0,8425;4028,44;144,92;145,57;99,8;98,3
201412;0,9613;4059,86;145,48;146,56;87,7;96,1
201501;0,9351;4110,2;139,11;145,39;88,1;96
201502;0,8224;4160,34;136,85;144,5;83,7;95,7
201503;1,04;4215,26;150,03;144,02;94,3;94,4
201504;0,9518;4245,19;142,71;142,55;88,8;92,8
201505;0,9853;4276,6;140,16;141,3;93,1;92,8
201506;1,0667;4310,39;139,08;139,83;92,5;91,5
201507;1,1782;4337,11;143,64;138,72;95,5;90,3
201508;1,109;4346,65;141,17;138,99;97,6;90,2
201509;1,109;4370,12;138,61;137,91;94,3;88,5
201510;1,109;4405,95;140,46;138,74;97,2;88,1
201511;1,0559;4450,45;136,13;136,82;87,6;86,2
201512;1,1621;4493,17;136,39;136,86;77,2;84,9
201601;1,0559;4550,23;128,02;135,41;76,2;85,3
201602;1,0028;4591,18;130,32;134,92;75,8;83,1
201603;1,1621;4610,92;140,03;133,92;83,6;84,9
201604;1,0559;4639,05;135,4;134,12;83;85,3
201605;1,109;4675,23;133,23;133,84;86,3;85
201606;1,1621;4691,59;135,05;134,06;87,7;86,5
201607;1,109;4715,99;136,2;133,79;89,7;86,2
201608;1,2152;4736,74;137,66;133,11;93;83,9
201609;1,109;4740,53;133,42;133,09;90,7;84,7
201610;1,0488;4752,86;132,34;132,81;90,3;83,5
201611;1,0383;4761,42;132,18;132,89;86,6;84
201612;1,1233;4775,7;132,81;132,63;77,2;85,9
201701;1,0861;4793,85;128,19;133,27;77,6;86
201702;0,8651;4809,67;128,88;135,04;75,5;86,2
201703;1,0521;4821,69;141,27;134,5;85,3;84,8
201704;0,7866;4828,44;132,98;134,71;79,4;85,7
201705;0,9271;4843,41;135,64;134,45;90,1;86,9
201706;0,8089;4832,27;134,39;135,08;88,3;87,1
201707;0,7979;4843,87;137,94;135,57;92,2;87,7
201708;0,8023;4853,07;139,92;135,05;96,7;87,1
