;SELIC;UTCAP;INF;EXPINF
2003.01;25;80,4;2,25;11,72
2003.02;25,5;80,2;1,57;11,07
2003.03;26,5;79,7;1,23;9,9
2003.04;26,5;79,7;0,97;9,18
2003.05;26,5;79,9;0,61;8,23
2003.06;26,5;79,4;-0,15;7,08
2003.07;26;79,2;0,2;6,39
2003.08;24,5;79,3;0,34;6,32
2003.09;22;79,7;0,78;6,56
2003.10;20;79,7;0,29;6,15
2003.11;19;79,7;0,34;5,8
2003.12;17,5;79,9;0,52;5,92
2004.01;16,5;80,2;0,76;6,01
2004.02;16,5;80,4;0,61;5,74
2004.03;16,5;81,2;0,47;5,54
2004.04;16,25;81,5;0,37;5,6
2004.05;16;81,3;0,51;5,98
2004.06;16;82;0,71;6,33
2004.07;16;82,6;0,91;6,36
2004.08;16;82,5;0,69;6,27
2004.09;16;82,8;0,33;6,24
2004.10;16,25;82,6;0,44;6,22
2004.11;16,75;82,3;0,69;6,3
2004.12;17,25;82,6;0,86;6,08
2005.01;17,75;82,6;0,58;5,74
2005.02;18,25;82,4;0,59;5,61
2005.03;18,75;82,5;0,61;5,67
2005.04;19,25;82,5;0,87;5,87
2005.05;19,5;81,8;0,49;5,46
2005.06;19,75;82;-0,02;4,85
2005.07;19,75;81,7;0,25;4,86
2005.08;19,75;81,7;0,17;4,7
2005.09;19,75;81;0,35;4,74
2005.10;19,5;81,4;0,75;4,73
2005.11;19;81,8;0,55;4,61
2005.12;18,5;81,7;0,36;4,46
2006.01;18;81,3;0,59;4,62
2006.02;17,25;81,7;0,41;4,4
2006.03;17,25;81,4;0,43;4,31
2006.04;16,5;81;0,21;4,06
2006.05;15,75;82,1;0,1;4,1
2006.06;15,25;81,9;-0,21;3,98
2006.07;15,25;81,6;0,19;4,28
2006.08;14,75;81,8;0,05;4,4
2006.09;14,25;82,1;0,21;3,93
2006.10;14,25;81,9;0,33;4
2006.11;13,75;82;0,31;4,14
2006.12;13,25;82,2;0,48;4,08
2007.01;13,25;82,2;0,44;4,03
2007.02;13;82,3;0,44;3,81
2007.03;13;82,8;0,37;3,74
2007.04;12,75;82,4;0,25;3,47
2007.05;12,5;82,8;0,28;3,4
2007.06;12,5;82,5;0,28;3,47
2007.07;12;82,6;0,24;3,55
2007.08;11,5;83,2;0,47;3,83
2007.09;11,5;82,7;0,18;3,75
2007.10;11,25;83,3;0,3;3,71
2007.11;11,25;83,7;0,38;3,85
2007.12;11,25;83,9;0,74;4,45
2008.01;11,25;84,6;0,54;4,44
2008.02;11,25;84,6;0,49;4,28
2008.03;11,25;83,7;0,48;4,36
2008.04;11,25;84;0,55;4,56
2008.05;11,75;83,4;0,79;5,08
2008.06;11,75;83,7;0,74;5,6
2008.07;12,25;83,8;0,53;5,49
2008.08;13;83;0,28;5,16
2008.09;13;83,4;0,26;5,01
2008.10;13,75;82,8;0,45;5,4
2008.11;13,75;81,6;0,36;5,45
2008.12;13,75;80,2;0,28;4,93
2009.01;13,75;79,8;0,48;4,7
2009.02;12,75;79,7;0,55;4,57
2009.03;12,75;79,8;0,2;4,14
2009.04;11,25;80;0,48;4,21
2009.05;10,25;80,2;0,47;4,14
2009.06;10,25;80,2;0,36;4,06
2009.07;9,25;80,5;0,24;4,09
2009.08;8,75;80,7;0,15;3,97
2009.09;8,75;81,1;0,24;4,19
2009.10;8,75;81,6;0,28;4,32
2009.11;8,75;81,9;0,41;4,35
2009.12;8,75;82,9;0,37;4,4
2010.01;8,75;82,3;0,75;4,68
2010.02;8,75;82,1;0,78;4,66
2010.03;8,75;83,3;0,52;4,7
2010.04;8,75;83,8;0,57;4,86
2010.05;9,5;83,7;0,43;4,88
2010.06;9,5;83,6;0;4,74
2010.07;10,25;83,6;0,01;4,82
2010.08;10,75;83,6;0,04;4,98
2010.09;10,75;83,4;0,45;5,31
2010.10;10,75;83,4;0,75;5,42
2010.11;10,75;83,8;0,83;5,61
2010.12;10,75;83,6;0,63;5,52
2011.01;10,75;83,4;0,83;5,67
2011.02;11,25;83,7;0,8;5,61
2011.03;11,25;83,5;0,79;5,61
2011.04;11,75;83,2;0,77;4,86
2011.05;12;83,5;0,47;4,88
2011.06;12;83,5;0,15;4,74
2011.07;12,25;83,2;0,16;5,35
2011.08;12,5;83,6;0,37;5,47
2011.09;12;83;0,53;5,8
2011.10;12;82,7;0,43;5,56
2011.11;11,5;82,7;0,52;5,53
2011.12;11;82,2;0,5;5,35
2012.01;11;80,8;0,56;5,3
2012.02;10,5;82,4;0,45;5,26
2012.03;10,5;82,4;0,21;5,43
2012.04;9,75;81,9;0,64;5,57
2012.05;9;82,3;0,36;5,52
2012.06;8,5;81,9;0,08;5,38
2012.07;8,5;82,2;0,43;5,58
2012.08;8;82,3;0,41;5,68
2012.09;7,5;82,2;0,57;5,64
2012.10;7,5;82,5;0,59;5,47
2012.11;7,25;82,6;0,6;5,36
2012.12;7,25;82,5;0,79;5,63
2013.01;7,25;83,5;0,86;5,7
2013.02;7,25;82,7;0,6;5,5
2013.03;7,25;82,4;0,47;5,53
2013.04;7,25;83,4;0,55;5,56
2013.05;7,5;82,5;0,37;5,62
2013.06;8;82,2;0,26;5,74
2013.07;8;82,5;0,03;5,66
2013.08;8,5;82,3;0,24;6,06
2013.09;9;82;0,35;6,16
2013.10;9;82,5;0,57;6,25
2013.11;9,5;82,2;0,54;6,14
2013.12;10;81,6;0,92;6,11
2014.01;10;82,4;0,55;6,02
2014.02;10,5;82,8;0,69;6,17
2014.03;10,75;81,1;0,92;6,42
2014.04;10,75;81,4;0,67;6,22
2014.05;11;80,9;0,46;6,03
2014.06;11;80;0,4;6,01
2014.07;11;81,4;0,01;5,95
2014.08;11;80,9;0,25;6,15
2014.09;11;81,4;0,57;6,33
2014.10;11;81,1;0,42;6,41
2014.11;11,25;81;0,51;6,56
2014.12;11,25;80,5;0,78;6,73
2015.01;11,75;81,4;1,24;6,97
2015.02;12,25;80,2;1,22;6,88
2015.03;12,25;80,8;1,32;7,01
2015.04;12,75;80,8;0,71;6,17
2015.05;13,25;79,3;0,74;6,11
2015.06;13,25;78,9;0,79;6,38
2015.07;13,75;78,5;0,62;5,98
2015.08;14,25;77,4;0,22;5,66
2015.09;14,25;77,4;0,54;6,15
2015.10;14,25;77,7;0,82;6,72
2015.11;14,25;77,3;1,01;7,16
2015.12;14,25;77,4;0,96;7,19
2016.01;14,25;77,8;1,27;7,29
2016.02;14,25;77,9;0,9;7,01
2016.03;14,25;77,7;0,43;6,52
2016.04;14,25;77,7;0,61;6,21
2016.05;14,25;76,9;0,78;6,17
2016.06;14,25;77,3;0,35;6,01
2016.07;14,25;76,4;0,52;5,7
2016.08;14,25;76,9;0,44;5,44
2016.09;14,25;76,7;0,08;5,07
2016.10;14,25;76,1;0,26;4,87
2016.11;14;76,2;0,18;4,8
2016.12;13,75;76,8;0,3;4,69
2017.01;13,75;77,8;0,38;4,71
2017.02;13;76,7;0,33;4,53
