;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73;V74;V75;V76;V77;V78;V79;V80
1;10,67824859;21,23247946;20,16365374;21,60853979;9,155179822;10,00227958;1,809067335;0,951514051;14,70906157;21,79933134;3,746444509;5,919073072;17,04625479;10,27504494;12,54414957;22,89552331;16,5276119;9,213754053;17,15967113;21,27029708;6,634965085;10,87351772;13,63889861;23,61506032;10,24314355;6,807948113;17,98024666;22,90293264;9,352822349;11,4532907;13,89806348;13,4817754;12,4765455;21,04128355;17,65040589;30,20747052;17,7617733;28,96384964;5,676597829;10,65405759;9,57064517;7,124083011;10,24458713;8,675812915;14,39631389;11,30995364;10,63360089;9,301892559;7,722627565;12,45494566;12,38794559;13,78434486;9,889457028;11,30564808;12,6430706;16,75879617;17,75917616;22,49362965;7,084010123;3,680713069;4,992401722;7,015327112;9,936208921;12,71439886;6,056578028;5,425606465;14,323692;23,10608226;8,099269476;9,508036057;5,819049945;4,202610131;6,991416617;8,31067166;1,057568561;1,234121891;14,78887049;16,86989467;8,039264256;4,530038374
2;10,609338;21,07348334;20,06838556;21,71768998;9,127208504;9,800344766;1,811543225;1,164562215;14,91482237;22,12692259;3,745319423;5,863671876;17,07213571;10,24362785;12,424731;22,75893661;16,77789078;9,296381656;17,1793782;21,26758651;6,587211721;10,73593753;13,49378353;23,33667401;10,11304695;6,744348756;18,04216534;23,20403958;9,224466081;11,37757678;14,0324095;13,64750456;12,34742026;20,8131815;17,4874574;29,9601051;17,55712103;28,63299261;5,898227386;11,26713018;9,498119114;6,90602691;10,38597991;8,636090609;14,36245239;11,15995716;10,59245063;9,250930165;7,913156184;12,64590748;12,43387858;13,67966751;9,824142054;11,13058492;12,45567179;16,60490222;17,70935902;22,27832517;7,122505796;3,840777354;5,052588967;6,969241438;9,961231787;12,85642644;6,191097161;5,464855458;14,48188484;23,25530626;8,073473529;9,432731712;5,992727769;4,403579236;6,942436868;8,357311579;0,952734405;1,110942339;14,79889475;16,92671925;8,192445955;4,537326241
3;10,41179983;20,4979699;19,95844168;21,54089276;9,264624617;9,907205046;1,866862863;1,326710251;15,18474523;22,35664369;3,734144033;5,758244574;17,14121097;10,27720344;12,56010427;22,9432574;16,57529647;9,101577321;17,21077684;21,33866359;6,555044086;10,85280575;13,57045331;23,42120839;10,30116402;6,79768575;18,02696231;23,09230682;9,15659365;11,27628583;14,15338426;13,80431006;12,33248231;20,75495195;17,60869639;30,25006084;17,41754376;28,40359549;6,026775661;11,31567511;9,282849073;6,840908048;10,62237738;8,965084299;14,46893477;11,35451628;10,78252095;9,406172499;7,91641418;12,58102446;12,35472105;13,60529232;10,03902621;11,57330854;12,32487713;16,54058413;18,0822958;22,70859641;6,993863902;3,554494378;4,896444868;6,917955373;10,14369442;13,09604228;6,39456599;5,440656054;14,6681023;23,54088861;7,929741233;9,282181388;5,917137818;4,330578019;7,182544077;8,368292922;0,782391895;0,874568252;15,0804344;17,23445789;8,366911592;4,792608979
4;10,41783401;20,68514958;19,88616302;21,41760942;9,280382514;9,991321473;1,974904981;1,458685019;15,25578966;22,41264017;3,786570397;5,856007397;16,94255419;10,15414367;12,45875061;23,01838408;16,8689258;9,178999166;17,27286556;21,64552817;6,4971257;10,90836974;13,69964591;23,54270403;10,29747002;6,902562995;17,9385877;23,05177588;9,177540488;11,49346311;14,29419831;13,8095073;12,24412647;20,63623811;17,62759663;30,23184525;17,52129047;28,63861007;5,896167563;11,07783053;9,236541295;6,691895524;10,49456803;8,957156434;14,61798031;11,42621237;10,81797382;9,279408643;7,731599548;12,31624245;12,47921254;13,81519231;9,80172538;11,41353584;12,31054618;16,65293619;18,15801015;22,86873165;6,818353852;3,620067654;4,899453427;6,793669242;10,09932763;13,05877054;6,297759271;5,261587027;14,57005147;23,12004941;7,903058899;9,206261134;5,840292836;4,306245694;7,375390012;8,78549428;0,641842459;0,764663935;14,81573487;16,87236974;8,123711242;4,637253164
5;10,35336413;20,58834102;19,83213707;21,14111016;9,173985586;9,977732708;1,842953842;1,431095367;15,08605023;22,2288735;3,868207106;6,055895179;17,05757346;10,1822174;12,51170272;23,07147702;16,65381853;9,013286323;17,21768548;21,66471768;6,507254378;10,80294624;13,64190894;23,52624333;10,39986672;7,120632977;17,82298437;22,93657155;9,159260878;11,46990296;14,3842761;13,8853792;12,23244139;20,44755755;17,5901231;30,35497373;17,4306201;28,6549844;5,812543745;10,95219157;9,286789496;6,794570754;10,22831752;8,723245333;14,4276215;11,32732225;10,53599615;8,971106903;7,808984378;12,5210926;12,44291496;13,75161995;9,72607254;11,37846798;12,26777674;16,42414693;17,9501552;22,5767374;6,815530125;3,688230116;4,932066732;7,047989043;9,930199367;12,73443033;6,224312189;5,293217448;14,30688278;23,03063448;7,836095584;9,15145517;5,790664282;4,256874154;7,366907044;8,802106186;0,663551492;0,82043308;14,808475;16,72444431;8,073533529;4,659804788
6;10,31103961;20,5926749;19,73052994;20,85421763;9,126748241;9,951026815;1,876219669;1,3848039;14,88033956;21,91070219;3,992865969;6,210456988;17,0603492;10,26993559;12,44895864;22,79376438;16,51954468;9,087407394;17,3498928;21,853338;6,434767795;10,63845787;13,65649272;23,715092;10,15525972;6,995217803;17,96848721;23,09782923;9,154874901;11,3867586;14,34178036;13,79380621;12,23632439;20,39707167;17,69505019;30,41767485;17,58110886;28,87988497;5,704324863;10,62913685;9,393633444;6,848585567;10,34112072;8,919776518;14,29180998;11,22495823;10,51985504;9,245767347;7,752987696;12,5972874;12,52940097;13,88231159;9,755237913;11,23269128;12,36798843;16,42882493;17,8208202;22,24856798;7,055851363;3,841442546;4,934676478;7,182058304;9,984651457;12,70193265;6,114848288;5,335339829;14,47273218;23,39110566;7,761392931;9,102323243;5,790492471;4,094367453;7,231339918;8,749954312;0,866964375;1,024632671;14,82585902;16,81847362;8,089209225;4,593598915
7;10,29779908;20,59092899;19,64033627;20,89279421;8,975370676;9,891456186;2,056128751;1,558085159;14,86539806;22,00746161;3,948001431;6,160491899;16,91975817;10,2929696;12,56044029;22,92266228;16,59434538;9,176529422;17,11135458;21,40916419;6,520635373;10,69910911;13,59665237;23,73079442;10,24270293;6,89367481;17,77677785;22,73319751;9,12377721;11,44266152;14,26876775;13,49793007;12,26993612;20,44747782;17,60227441;30,26897531;17,56046858;28,97352501;5,710114138;10,68176261;9,393007617;6,933690154;10,38677605;8,813318692;14,39956798;11,16572119;10,61323281;9,265082566;7,769208726;12,64658016;12,35955189;13,70628811;9,946549328;11,42207201;12,336459;16,47061709;17,9060142;22,60589766;6,986205929;3,783731415;4,723086241;6,792794298;9,929190533;12,83911832;6,075684899;5,406949439;14,40185939;23,19435412;7,706608093;8,933725406;5,940668458;4,244543963;7,157165242;8,626224984;1,099117693;1,412149076;14,88436724;16,96017096;7,961762347;4,37908658
8;10,41417057;20,77197017;19,4623343;20,64894301;8,991859104;9,832266797;2,070230262;1,437388155;15,05157804;22,23589327;3,791423907;5,75301729;16,97884979;10,37306633;12,51680548;22,68750249;16,75101876;9,084598487;17,0390876;21,27164663;6,60387427;10,93251149;13,49915894;23,48350562;10,15776714;6,685438437;18,11994028;23,21652499;9,110940736;11,29717972;14,19745128;13,54993366;12,28815927;20,35191773;17,60041452;30,1479368;17,36870585;28,657493;5,921382256;11,10513723;9,223678308;6,823049693;10,44585793;8,889716191;14,24174313;11,1407801;10,75833536;9,477584793;7,934018378;12,94655342;12,38122707;13,60212661;9,989663829;11,43212852;12,44580626;16,61598992;17,95933021;22,76570013;6,862278262;3,680665728;4,651345008;6,565051477;10,16808485;13,1152399;6,145821359;5,426454453;14,39251931;23,28072671;7,63541896;8,833431798;5,889999473;4,158939195;7,230969126;8,72651105;1,103203254;1,394172743;14,96589797;16,92882587;8,093598199;4,604219363
9;10,45935354;20,82440475;19,40910705;20,58842446;9,216138058;9,944668365;2,010061175;1,298155503;15,1498477;22,51799719;3,769942204;5,914237868;17,10864874;10,28914279;12,58215643;23,0820602;16,69230356;9,200500121;17,20172711;21,33193124;6,550230947;11,01715704;13,59798449;23,75714782;10,08856753;6,623646629;18,05509273;22,88082739;9,072174752;11,34384333;14,10783202;13,76134622;12,22708641;20,29942375;17,57581643;30,07959014;17,42896922;28,70772707;6,087281706;11,41304229;9,248080678;6,76082574;10,32465281;8,832118256;14,01213397;10,89988216;10,77732765;9,443660953;7,665507368;12,45204599;12,19607741;13,49336006;9,922779974;11,42399568;12,54682415;16,82945612;18,08581936;22,80987614;6,985443768;3,763211467;4,744784721;6,808415016;10,18855867;13,21599167;6,212205184;5,419989815;14,7660097;23,78091473;7,716268963;8,892519719;5,7615953;4,11374975;7,275234176;8,631283639;1,03038436;1,176645901;14,84944735;16,99191996;8,149207744;4,66862591
10;10,38301219;20,81892096;19,56463049;20,91975642;9,197883041;9,730975054;1,785514457;1,236560248;15,03919665;22,20422823;3,666522571;5,470889012;16,98868613;10,20986791;12,55843289;22,92329978;16,54728601;9,22818414;17,10624036;21,27458094;6,559946924;10,93624235;13,81597228;24,03169424;10,36511745;7,003979649;17,86252308;22,72117075;9,251077754;11,67804032;14,02812082;13,44721728;12,18710722;20,21037047;17,6091567;30,11487874;17,2572908;28,55471528;6,011324217;11,18782376;9,358358315;6,908772525;10,28869284;8,857062674;14,08072023;10,97368935;10,68923961;9,145095971;7,768524011;12,64880807;12,29191192;13,56031755;9,943660048;11,35220286;12,55576976;16,81147032;18,17583167;22,83747653;7,110563413;3,933194772;4,795748124;6,790363515;10,13541768;13,31412782;6,124231376;5,311370818;14,39358938;23,18518501;7,784958282;9,026712202;5,93085055;4,210353143;7,190061262;8,508893565;1,087365261;1,477180959;14,85334302;16,97549849;8,069124613;4,595080944
